"id","state","year","count","rate"
"47","Tennessee",2000,16174,293.6
"47","Tennessee",2001,15688,280.6
"47","Tennessee",2002,16226,287.3
"47","Tennessee",2003,15919,277.6
"47","Tennessee",2004,15038,258.6
"47","Tennessee",2005,14946,251.2
"47","Tennessee",2006,14642,238
"47","Tennessee",2007,14280,227.2
"47","Tennessee",2008,14661,228.1
"47","Tennessee",2009,14257,216.5
"47","Tennessee",2010,14582,217.4
"47","Tennessee",2011,14235,205.4
"47","Tennessee",2012,14454,203.7
"47","Tennessee",2013,14803,204.1
"47","Tennessee",2014,15223,205.6
"47","Tennessee",2015,15730,207.3
"48","Texas",1999,43418,270.1
"48","Texas",2000,43020,263.5
"48","Texas",2001,43199,259.1
"48","Texas",2002,43452,256.3
"48","Texas",2003,41779,241.2
"48","Texas",2004,40196,226.9
"48","Texas",2005,40152,220.4
"48","Texas",2006,38782,205.2
"48","Texas",2007,38912,200.1
"48","Texas",2008,38384,191.7
"48","Texas",2009,38077,184.1
"48","Texas",2010,38253,181.1
"48","Texas",2011,38094,172.5
"48","Texas",2012,39061,171.3
"48","Texas",2013,40203,170.7
"48","Texas",2014,41479,169.9
"48","Texas",2015,43298,171.6
"49","Utah",1999,2786,190.1
"49","Utah",2000,2909,194
"49","Utah",2001,2896,187.7
"49","Utah",2002,2977,188.6
"49","Utah",2003,3018,187.4
"49","Utah",2004,2942,178.1
"49","Utah",2005,2872,167.9
"49","Utah",2006,2932,163.7
"49","Utah",2007,2980,161
"49","Utah",2008,2844,148.7
"49","Utah",2009,2813,142.2
"49","Utah",2010,2889,143.2
"49","Utah",2011,3036,144.4
"49","Utah",2012,3091,142.4
"49","Utah",2013,3323,149
"49","Utah",2014,3431,151
"49","Utah",2015,3598,152.9
